"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PRAMEF18",0,NA,NA,NA,NA,NA
"PRAMEF20",0,NA,NA,NA,NA,NA
"PRAMEF17",0,NA,NA,NA,NA,NA
"LRRC38",0,NA,NA,NA,NA,NA
"PDPN",1393.91415638854,0.310014170025855,0.0959409724698511,3.23130110155257,0.00123228053560796,0.0387007057216983
"PRDM2",1136.81565389833,-0.00181476379291524,0.107257764181936,-0.0169196496566621,0.986500716851351,0.996212224069001
"KAZN",194.070780766086,0.0676575291618636,0.183461299932176,0.368783657299256,0.71228898700088,0.925025794290498
"TMEM51-AS1",62.2658700693014,0.176357766241457,0.287971512161966,0.612413932605482,0.540263926014678,0.872896942758262
"TMEM51",318.87429157511,0.380924148554851,0.146710606908192,2.59643223201458,0.00941974853183878,0.151334146072635
"FHAD1",1.43797381107181,0.857539888753276,1.83444632273695,0.467465239034002,0.640167056406925,NA
"EFHD2",1468.13748847943,0.425264216267813,0.13242359168439,3.21139315780953,0.00132093079315598,0.0406338633986982
"CTRC",0.227702161245187,1.02522954827478,4.05591490204745,0.252773929689017,0.800442914696325,NA
"CELA2A",0,NA,NA,NA,NA,NA
"CELA2B",0,NA,NA,NA,NA,NA
"CASP9",110.688894171459,-0.0314898869476375,0.219800900580443,-0.143265504665723,0.886080498046355,0.973627650138795
"DNAJC16",576.311803309475,-0.183754289887981,0.136567019875415,-1.34552463732176,0.178455870523465,0.625951950428338
"AGMAT",17.6866578663778,-0.553557461570155,0.541774598824219,-1.02174864375611,0.306899881706718,0.749617032422223
"DDI2",102.454934161541,0.00688419129964893,0.241940329472885,0.0284540874795348,0.977299986070989,0.99405257554809
"RSC1A1",116.889412733761,0.014418783704897,0.214976710947933,0.0670713755053642,0.946524881603635,0.988801681584507
"PLEKHM2",1191.66403065559,0.0614021602218237,0.123994686688381,0.495199930430384,0.620458999729424,0.900462921758635
"SLC25A34",12.7293592415827,0.371146893616319,0.636555579083574,0.583054969293719,0.559856296340625,0.883032697634352
"TMEM82",0,NA,NA,NA,NA,NA
"FBLIM1",3188.21766510358,0.157711579124997,0.0913788924813457,1.72590819217022,0.0843639306866756,0.472085508525896
"UQCRHL",93.9675225716689,0.0883458115836128,0.231195367388326,0.382126218970571,0.702367744937619,0.921948546598951
"FLJ37453",17.5868292517604,0.290473638897905,0.513780834556943,0.565364878097086,0.571825608481362,0.885612248492604
"SPEN",2777.95323577535,0.0973220085991022,0.0900337772307437,1.08094996780686,0.279719369860781,0.726655608388093
